,City,Lat,Long,Temp. Max,Humidity,Cloudiness,Windspeed,description,Country
0,punta arenas,-53.15,-70.9167,32.0,69,75,8.05,broken clouds,CL
1,kangaba,11.9333,-8.4167,91.9,41,80,3.22,broken clouds,ML
2,kodiak,57.79,-152.4072,39.2,87,90,14.97,light rain,US
3,guilin,25.2819,110.2864,80.6,78,75,8.95,broken clouds,CN
4,zhezkazgan,47.8043,67.7144,73.4,11,100,10.38,overcast clouds,KZ
5,atuona,-9.8,-139.0333,80.38,76,95,13.89,overcast clouds,PF
6,marystown,47.1666,-55.1483,40.84,92,100,9.86,overcast clouds,CA
7,kaitangata,-46.2817,169.8464,50.0,80,0,1.99,clear sky,NZ
8,rikitea,-23.1203,-134.9692,78.3,81,78,9.44,broken clouds,PF
9,seoul,37.5683,126.9778,66.2,36,0,6.91,clear sky,KR
10,torbay,47.6666,-52.7314,43.0,93,90,14.97,light rain,CA
11,tevaitoa,-16.7833,-151.5,82.02,66,87,5.84,overcast clouds,PF
12,san quintin,30.4833,-115.95,45.0,10,16,10.0,few clouds,MX
13,faya,18.3851,42.4509,78.8,49,40,11.5,scattered clouds,SA
14,tuatapere,-46.1333,167.6833,48.0,82,30,1.01,scattered clouds,NZ
15,kalmunai,7.4167,81.8167,87.35,63,61,9.13,broken clouds,LK
16,sitka,57.0531,-135.33,48.2,61,90,11.5,light rain,US
17,saldanha,-33.0117,17.9442,86.0,36,0,18.41,clear sky,ZA
18,cape town,-33.9258,18.4232,84.2,21,0,8.05,clear sky,ZA
19,sokoni,-6.4333,39.55,77.0,94,75,20.71,moderate rain,TZ
20,mount gambier,-37.8333,140.7667,50.0,93,90,10.36,overcast clouds,AU
21,karaton,-6.3424,106.1045,89.01,70,20,11.5,light rain,ID
22,ushuaia,-54.8,-68.3,32.0,93,40,24.16,scattered clouds,AR
23,balkanabat,39.5108,54.3671,76.87,27,90,2.66,overcast clouds,TM
24,puri,19.8,85.85,96.8,41,40,9.22,scattered clouds,IN
25,makat,47.6469,53.3463,80.06,20,69,1.3,broken clouds,KZ
26,broome,42.2506,-75.833,50.0,87,1,8.05,clear sky,US
27,busselton,-33.65,115.3333,64.0,75,85,10.87,overcast clouds,AU
28,pemangkat,1.1667,108.9667,83.95,73,88,8.86,overcast clouds,ID
29,hermanus,-34.4187,19.2345,88.0,25,0,1.01,clear sky,ZA
30,upernavik,72.7868,-56.1549,22.46,69,58,6.64,broken clouds,GL
31,albany,42.6001,-73.9662,50.0,83,100,2.1,overcast clouds,US
32,vaini,-21.2,-175.2,73.4,78,90,9.22,overcast clouds,TO
33,pacific grove,36.6177,-121.9166,51.01,90,4,3.91,clear sky,US
34,vila,42.0304,-8.1588,61.0,51,1,1.01,clear sky,PT
35,bengkulu,-3.8004,102.2655,83.3,77,100,6.2,overcast clouds,ID
36,beaverlodge,55.2166,-119.4361,32.0,93,1,4.05,clear sky,CA
37,puerto escondido,15.85,-97.0667,77.99,74,92,7.25,overcast clouds,MX
38,tuktoyaktuk,69.4541,-133.0374,23.97,83,100,4.54,overcast clouds,CA
39,touros,-5.1989,-35.4608,75.2,88,20,4.61,few clouds,BR
40,georgetown,5.4112,100.3354,89.6,70,40,2.3,light rain,MY
41,cabedelo,-6.9811,-34.8339,75.2,88,0,5.75,clear sky,BR
42,ploemeur,47.7333,-3.4333,55.0,58,20,11.5,few clouds,FR
43,dwarka,22.2394,68.9678,87.62,54,53,14.74,broken clouds,IN
44,kamenka,51.3223,42.7678,75.99,42,100,1.99,light rain,RU
45,narrabri,-30.3167,149.7833,60.8,67,7,3.44,clear sky,AU
46,katsuura,35.1333,140.3,64.0,78,37,15.99,scattered clouds,JP
47,pokrovsk,48.282,37.1758,73.15,37,100,18.37,overcast clouds,UA
48,wenling,28.3669,121.36,73.99,67,99,7.14,overcast clouds,CN
49,ponta do sol,32.6667,-17.1,66.2,59,40,10.36,scattered clouds,PT
50,port alfred,-33.5906,26.891,77.11,41,0,11.03,clear sky,ZA
51,livingston,55.9029,-3.5226,46.4,66,20,10.36,light rain,GB
52,te anau,-45.4167,167.7167,44.8,90,19,5.35,few clouds,NZ
53,iqaluit,63.7506,-68.5145,28.4,74,40,10.36,scattered clouds,CA
54,newton,42.337,-71.2092,57.2,71,100,8.05,overcast clouds,US
55,labuan,5.2767,115.2417,86.0,74,20,4.61,heavy intensity rain,MY
56,thompson,55.7435,-97.8558,24.8,86,90,3.44,light snow,CA
57,ayan,56.45,138.1667,32.79,73,70,3.83,broken clouds,RU
58,puerto ayora,-0.7393,-90.3518,74.71,79,94,11.43,overcast clouds,EC
59,hvolsvollur,63.7533,-20.2243,41.0,56,0,4.61,clear sky,IS
60,north bend,43.4065,-124.2243,44.6,93,1,4.61,clear sky,US
